placa,marca,modelo,combustivel
AAA0P21,Fiat,Palio,FLEX
BAC1R34,Ford,Focus,GASOLINA
CCC2T78,Chevrolet,Cobalt,GASOLINA
DDD3K12,Volkswagen,Gol,FLEX
EEE4M45,Hyundai,HB20,FLEX
FFF5B89,Renault,Clio,FLEX
GGG6S11,Peugeot,208,FLEX
HHH7X66,Fiat,Uno,FLEX
III8W33,Chevrolet,Onix,FLEX
JJJ9Z00,Ford,Ka,FLEX
HJA0P51,Fiat,Palio,FLEX
BKC1L24,Ford,Focus,GASOLINA
CXZ2T58,Chevrolet,Cobalt,GASOLINA
KJD3K12,Volkswagen,Gol,FLEX
OPE1K45,Hyundai,HB20,FLEX
DEF1B19,Renault,Clio,FLEX
SXG6S41,Peugeot,208,FLEX
HFR7X96,Fiat,Uno,FLEX
IQW8S13,Chevrolet,Onix,FLEX
BKJ9S30,Ford,Ka,FLEX
